Franklin India Banking and PSU Debt Fund - Direct - IDCW 	10.9386
Franklin India Banking and PSU Debt Fund - IDCW 	10.4006
	
	
	
HDFC Banking and PSU Debt Fund - Growth Option	19.9324
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	20.6024
HDFC Banking and PSU Debt Fund - IDCW Option	10.1458
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0365
	
	
	
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	22.1053
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2925
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3492
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1157
HSBC Banking and PSU Debt Fund - Regular Growth	21.1362
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.7348
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3216
	
	
	
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.3563
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.6815
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.3400
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.7484
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
	
	
	
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1010.8103
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2081.6004
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1031.7313
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1011.259
Invesco India Banking & PSU Debt Fund - Growth Option	1955.861
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1031.2193
	
	
	
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.5315
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.5315
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.3549
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.3549
	
	
	
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.5809
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.6302
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.5191
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.3117
	
	
	
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.0473
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.2459
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.1443
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0559
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.1831
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.2964
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.053
	
	
	
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.4216
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.4211
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.2678
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.2688
	
	
	
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.5205
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.5203
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	17.9780
